Name,English Name,Operator,Output,Source,Method,Wikidata,Output_MW
محطة البرلس المركبة,Burullus Combined Cycle Power Plant,Egyptian Electricity Holding Company (EEHC),"4,800 MW",gas,combustion,Q56360316,4800.0
محطة بني سويف المركبة,Beni Suef Combined Cycle Power Plant,Egyptian Electricity Holding Company (EEHC),"4,800 MW",gas,combustion,Q56360332,4800.0
محطة كهرباء العاصمة الإدارية الجديدة,New Capital Combined Cycle Power Plant,Egyptian Electricity Holding Company (EEHC),"4,800 MW",gas,combustion,Q56360325,4800.0
قطاع الكريمات,El Kureimat power plant,Upper Egypt Electricity Production Company,"2,754 MW",gas,combustion,Q1786091,2754.0
محطة كهرباء النوبارية المركبة,Nubaria power station,Middle Delta Electricity Production Company,"2,250 MW",gas,combustion,Q11966987,2250.0
محطة كهرباء شمال الجيزة,Giza North Power Station,Cairo Electricity Production Company,"2,250 MW",gas,combustion,Q56359846,2250.0
محطة أبوقير البخارية,Abu Qir Power Plant,West Delta Electricity Production Company,"2,235 MW",gas,combustion,Q11956848,2235.0
Aswan High Dam Power Plant,Aswan High Dam Power Plant,,"2,100 MW",hydro,water-storage,Q38891,2100.0
محطة كهرباء غرب القاهرة,Cairo West Power Plant,Cairo Electricity Production Company,"2,010 MW",gas,combustion,Q56359854,2010.0
محطة جنوب حلوان,South Helwan power plant,Upper Egypt Electricity Production Company,"1,950 MW",gas,combustion,Q56360377,1950.0
محطة كهرباء 6 أكتوبر,6 October Power Station,Cairo Electricity Production Company,"1,519 MW",gas,combustion,Q56359852,1519.0
محطة توليد كهرباء غرب أسيوط,West Assiut Power Plant,Upper Egypt Electricity Production Company,"1,500 MW",gas,combustion,Q56360050,1500.0
محطة كهرباء الشباب المركبة,Shabab Power Station,East Delta Electricity Production Company,"1,500 MW",gas,combustion,Q56359813,1500.0
محطة كهرباء دمياط الجديدة,West Damietta Power Station,East Delta Electricity Production Company,"1,500 MW",gas,combustion,Q56359716,1500.0
محطة كهرباء شمال القاهرة,North Cairo Power Plant,Cairo Electricity Production Company,"1,500 MW",gas,combustion,Q19376753,1500.0
محطة بنبان للطاقة الشمسية,Benban Solar Park,,"1,465 MW",solar,photovoltaic,Q48989519,1465.0
محطة كهرباء طلخا,Talkha power plant,Middle Delta Electricity Production Company,"1,460 MW",gas,combustion,Q11992797,1460.0
محطة كهرباء دمياط المركبة,Damietta Power Station,East Delta Electricity Production Company,"1,450 MW",gas,combustion,Q46608973,1450.0
"محطة سيدي كرير 1,2",West Delta Sidi Krir Power Plant,West Delta Electricity Production Company,"1,390 MW",gas,combustion,Q19388393,1390.0
محطة كهرباء العين السخنة البخارية,El Ain El Sokhna,East Delta Electricity Production Company,"1,300 MW",gas,combustion,Q56360079,1300.0
كهرباء شبرا الخيمة,Shobra Al-Kheima Electricity,Cairo Electricity Production Company,"1,295 MW",gas,combustion,Q56359849,1295.0
محطة أسيوط الوليدية,Walideya Power Plant,Upper Egypt Electricity Production Company,"1,250 MW",gas;oil,combustion,Q56360052,1250.0
محطه توليد كهرباء عتاقه,Ataqa Power Station,East Delta Electricity Production Company,"1,240 MW",gas,combustion,Q11959473,1240.0
Obelisk Solar Power Plant,,Scatec,"1,000 MW",solar,photovoltaic,,1000.0
محطة كهرباء العطف المركبة,El-Atf Power Plant,Middle Delta Electricity Production Company,750 MW,gas,combustion,Q56359749,750.0
محطة كهرباء بنها المركبة,Banha Power Plant,Middle Delta Electricity Production Company,750 MW,gas,combustion,Q56359815,750.0
محطة كهرباء التبين,El Tebbin Power Plant,Cairo Electricity Production Company,700 MW,gas,combustion,Q56359997,700.0
Port Said East Power Station,Port Said East Power Station,,682 MW,gas,combustion,Q56359714,682.0
محطة توليد كهرباء العين السخنة,Suez Gulf Power Station,Egyptian Electricity Holding Company (EEHC),682 MW,gas,combustion,Q56360072,682.0
"محطة سيدي كرير3 ,4",Sidi Krir 3 & 4 Power Plant,Egyptian Electricity Holding Company (EEHC),682 MW,gas,combustion,Q56359664,682.0
محطة كهرباء المحمودية الغازية,Mahmoudeya Power Plant,Middle Delta Electricity Production Company,653 MW,gas,combustion,Q56359725,653.0
محطة كهرباء السويس البخارية,Suez Power Station,East Delta Electricity Production Company,650 MW,gas,combustion,,650.0
محطة كهرباء عيون موسى البخارية,Oyoun Mousa Power Station,East Delta Electricity Production Company,640 MW,gas,combustion,Q17749722,640.0
محطة كهرباء أبو سلطان البخارية,Abu Sultan Power Station,East Delta Electricity Production Company,600 MW,gas,combustion,Q56359816,600.0
مزرعة رياح جبل الزيت,Gabal El-Zeit wind farm,,580 MW,wind,wind_turbine,Q97055107,580.0
مزرعة رياح الزعفرانة,Zafarana wind farm,,540 MW,wind,wind_turbine,,540.0
Amunet Wind Farm,,AMEA Power,500 MW,wind,wind_turbine,,500.0
AMEA Kom Ombo Solar Power Plant,,,500 MW,solar,photovoltaic,,500.0
Red Sea Wind Energy,,Red Sea Wind Energy,500 MW,wind,wind_turbine,,500.0
محطة كهرباء العريش البخارية,Al-Arish Power Station,East Delta Electricity Production Company,316 MW,gas,combustion,,316.0
محطة كهرباء دمنهور,Damanhur Thermal Power Plant,West Delta Electricity Production Company,300 MW,gas,combustion,Q56359762,300.0
محطة كهرباء الغردقة الغازية,Hurghada Power Station,East Delta Electricity Production Company,288 MW,gas,combustion,Q56360084,288.0
