episode,wave,rewards,equity,actor_loss,critic_loss,lr,v_viol,line_ovld,power_loss,shock_pct,steps_survived,g_V,g_T,g_G,g_C,lambda_V,lambda_T,lambda_G,lambda_C,max_v_dev,n_violations,max_loading
0,1,250.4451141357422,99.35215597886305,0.0,0.0,0.0001,11.698717948717949,0.0,0.0,0.0,156,0.02459868974983692,0.00012428683112375438,0.13429245352745056,0.39258989691734314,0.0,0.0,0.0,0.0,0.5906410251672451,11.698717948717949,0.8549481473672085
1,1,6.083622455596924,74.9938850402832,0.0,0.0,0.0001,37.75,0.0,0.0,0.0,4,0.15954433381557465,0.00297860661521554,0.14076343178749084,0.22022849321365356,0.0,0.0,0.0,0.0,0.6909999996423721,37.75,0.9314879477024078
2,1,258.0442810058594,99.36418214234166,0.0,0.0,0.0001,11.71069182389937,0.0,0.0,0.0,159,0.024559898301959038,0.00035813028807751834,0.13620369136333466,0.3667718172073364,0.0,0.0,0.0,0.0,0.5905911944947153,11.71069182389937,0.8849054619951068
3,1,367.1915588378906,99.54263415637317,0.07582498341798782,0.36947232484817505,0.0001,11.481981981981981,0.0,0.0,0.0,222,0.023487916216254234,2.7586390842770925e-06,0.13450516760349274,0.34591612219810486,0.0,0.0,0.0,0.0,0.5898558553811666,11.481981981981981,0.8307976975097312
4,1,234.80200502152348,99.28392212779809,0.07582498341798782,0.36947232484817505,0.0001,11.78014184397163,0.0,0.0,0.0,141,0.024921130388975143,0.00010327916970709339,0.13468314707279205,0.34522780776023865,2.4172528297622196e-05,1.7178475722721579e-07,0.00013428161566633214,0.0003658091681422592,0.5909219853421475,11.78014184397163,0.880747138608432
5,1,225.17253087721025,99.2891483038244,0.07582498341798782,0.36947232484817505,0.0001,11.774647887323944,0.0,0.0,0.0,142,0.02493264526128769,6.9127680035308e-05,0.13430006802082062,0.3958759009838104,2.4172528297622196e-05,1.717847572272158e-07,0.0001342816156663321,0.0003658091681422592,0.5909014079772251,11.774647887323944,0.8457398376834224
6,1,37.91746863045629,95.22716049920945,0.07582498341798782,0.36947232484817505,0.0001,16.952380952380953,0.0,0.0,0.0,21,0.048136983066797256,0.0003110206744167954,0.13553325831890106,0.11182820051908493,2.41725282976222e-05,1.7178475722721573e-07,0.00013428161566633208,0.0003658091681422593,0.6203397767884391,16.952380952380953,0.9954682844025748
7,1,143.8030332358515,98.84283078950027,0.07582498341798782,0.36947232484817505,0.0001,12.436781609195402,0.0,0.0,0.0,87,0.027843719348311424,0.00010816271242219955,0.13573510944843292,0.3489992320537567,2.417252829762218e-05,1.717847572272158e-07,0.0001342816156663321,0.0003658091681422592,0.5959193692810234,12.436781609195402,0.8988329213241051
8,1,217.49598441516912,99.25267531783493,0.3287065923213959,0.7721222639083862,0.0001,12.0,0.0,0.0,0.0,135,0.025417283177375793,0.00030858247191645205,0.13491997122764587,0.3780839145183563,2.41725282976222e-05,1.7178475722721579e-07,0.0001342816156663321,0.0003658091681422592,0.5944851848814222,12.0,0.8607603770715219
9,1,226.7157407908269,99.27372538614617,0.3287065923213959,0.7721222639083862,0.0001,11.892086330935252,0.0,0.0,0.0,139,0.02507900632917881,0.00041055353358387947,0.13472844660282135,0.357033371925354,5.048548394268445e-05,2.501811053053991e-07,0.00026766849005370355,0.0007247601799449718,0.5917050358202818,11.892086330935252,0.9012768071332424
10,1,180.35898197048,99.09999895095825,0.3287065923213959,0.7721222639083862,0.0001,11.982142857142858,0.0,0.0,0.0,112,0.026264067739248276,0.00037335444358177483,0.13432714343070984,0.37529924511909485,5.0485483942684465e-05,2.5018110530539907e-07,0.00026766849005370344,0.0007247601799449718,0.59305803584201,11.982142857142858,0.8708922852362905
11,1,188.4301530751095,99.1596466700236,0.3287065923213959,0.7721222639083862,0.0001,11.941666666666666,0.0,0.0,0.0,120,0.025803975760936737,0.00039621489122509956,0.13542881608009338,0.40533119440078735,5.048548394268447e-05,2.5018110530539907e-07,0.00026766849005370344,0.0007247601799449718,0.5914333328604698,11.941666666666666,0.881856898466746
12,1,818.698161643033,99.79728158252813,-0.06297488510608673,0.4757462739944458,0.0001,11.53228962818004,0.0,0.0,0.0,511,0.02226252853870392,1.1792283203249099e-06,0.13484108448028564,0.3885861933231354,5.0485483942684465e-05,2.5018110530539907e-07,0.00026766849005370344,0.0007247601799449719,0.6078110143629772,11.53228962818004,0.8431884893699169
13,1,376.945420319676,99.56949822377351,-0.07330414652824402,0.5670444369316101,0.0001,11.453389830508474,0.0,0.0,0.0,236,0.023286694660782814,2.412255525996443e-06,0.13508236408233643,0.3911353349685669,7.56370663472041e-05,6.144509561600291e-07,0.00040076945301741496,0.0010949086610763418,0.5897457622370478,11.453389830508474,0.8395977765321732
14,1,216.1107292190267,99.24684945860905,-0.07330414652824402,0.5670444369316101,0.0001,12.029850746268657,0.0,0.0,0.0,134,0.025396257638931274,0.0002140397555194795,0.13298247754573822,0.3678464889526367,9.742437100970857e-05,6.125497418710051e-07,0.0005329783790858207,0.0014815922213189511,0.5923923236220631,12.029850746268657,0.8478353512820913
